28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,23,39,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,22,38,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,22,38,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,22,23,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,38,38,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,23,38,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,22,23,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,38,39,22,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,22,22,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,22,22,22,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,39,22,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,38,23,22,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,39,22,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,23,38,38,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,39,39,23,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,23,38,39,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,39,22,39,29,28,29,28,29,28,29,28,29
44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,39,39,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
